,ResponseId,Country,RobotType,care_family,cook,creepy,feel_emo,friendly,like,phys_sim,plan_indep,think_hum,touch,vacuum,want_to_have,dictator_offer
46,R_0vWsHLASIobgpVf,India,10,72,71.9,29.6,33.6,70.2,68.7,26.4,36.8,23.1,65.4,68.6,68.3,0.4
47,R_0vWsHLASIobgpVf,India,11,69.8,68.8,20.1,30,66.1,67.8,61.9,32.2,38,70.7,67.6,73.3,0.676
48,R_0vWsHLASIobgpVf,India,12,58.7,71.5,0,3.5,59,61.7,0,23.9,16,81,87.2,97.4,0.6
49,R_0vWsHLASIobgpVf,India,13,62.4,70.6,26.5,55.9,73.1,57.3,47.8,43.4,55.4,59.3,57.9,62.9,0.6
50,R_0vWsHLASIobgpVf,India,14,57.8,77.4,19.5,34.8,70.5,63.3,63.1,40.7,36.2,57.5,74.4,61.8,0.884
51,R_0vWsHLASIobgpVf,India,15,55.3,76.4,36.7,33.2,61,53.6,50,39.3,31.5,35.1,83.9,45,0.464
52,R_0vWsHLASIobgpVf,India,16,61.2,54.3,17.9,3,61.4,61.7,36.2,39.6,43.5,60.4,66.4,69.9,0.824
53,R_0vWsHLASIobgpVf,India,17,66.4,64.5,2.3,10.3,81,75.9,7.3,26.4,5.4,100,100,100,1
54,R_0vWsHLASIobgpVf,India,18,16.3,49.8,77.4,4.8,14.3,0,25.4,4.7,27.5,60.4,50.9,41.8,0.276
55,R_10MdlqqqfoP2oFd,India,1,37.5,0,0,0,100,100,0,0,0,100,38.2,84.9,0.88
56,R_10MdlqqqfoP2oFd,India,2,0,0,100,0,0,11.7,11,0,0,23.2,0,10.9,0.2
57,R_10MdlqqqfoP2oFd,India,3,0,0,55.1,0,70,65.5,83.8,0,0,75.2,83.6,81.9,0.72
58,R_10MdlqqqfoP2oFd,India,4,0,0,12.2,0,82.7,65.1,86.9,0,0,75.1,86.2,84.3,0.88
59,R_10MdlqqqfoP2oFd,India,5,0,0,0,0,63.7,77.2,62.9,0,0,100,100,79.8,0.8
60,R_10MdlqqqfoP2oFd,India,6,0,0,24.1,0,24.1,36.1,49.1,0,0,100,49.5,63.7,0.7
61,R_10MdlqqqfoP2oFd,India,7,0,0,0,0,11.1,24.8,0,0,0,49.9,13.7,36.7,0.32
62,R_10MdlqqqfoP2oFd,India,8,0,0,100,0,0,0,0,0,0,11.3,9.2,22,0.16
63,R_10MdlqqqfoP2oFd,India,9,0,0,100,0,0,0,0,0,0,0,0,2.5,0.04
64,R_10MdlqqqfoP2oFd,India,10,0,0,61.5,0,11.1,27.2,7.9,0,0,100,34.6,46.2,0.4
65,R_10MdlqqqfoP2oFd,India,11,0,0,35.9,0,37,36.9,57.1,0,0,58.8,62.6,68.1,0.68
66,R_10MdlqqqfoP2oFd,India,12,0,0,34.2,0,13.3,23.6,0,0,0,100,9.8,49.9,0.6
67,R_10MdlqqqfoP2oFd,India,13,0,0,12.5,0,36.1,24.5,10.6,0,0,68.9,88.6,64.3,0.52
68,R_10MdlqqqfoP2oFd,India,14,0,0,24.3,0,0,75.9,87.9,0,0,100,82.7,97.9,0.88
69,R_10MdlqqqfoP2oFd,India,15,0,0,59.7,0,36.2,54.2,60.2,0,0,86.6,63,89.1,0.8
70,R_10MdlqqqfoP2oFd,India,16,0,0,10.3,0,49.9,61,13.3,0,0,100,84,76,0.6
71,R_10MdlqqqfoP2oFd,India,17,0,0,0,0,54.8,63.9,0,0,0,63.1,36.3,58.8,0.48
72,R_10MdlqqqfoP2oFd,India,18,0,0,65,0,60.2,63.4,85.8,0,0,100,61,100,1
73,R_10NJ3BUEcjETUpn,India,1,12.5,11.4,0,16.6,39.3,94.6,0,6.6,18.2,100,18.6,96.8,0.6
74,R_10NJ3BUEcjETUpn,India,2,0,0,81.8,0,0.3,0,0,12.7,1.3,22.4,16.9,7.6,0.2
75,R_10NJ3BUEcjETUpn,India,3,63.5,73.2,25.7,16.8,39.3,45.6,50.1,30,17.9,100,76.3,93.2,0.8
76,R_10NJ3BUEcjETUpn,India,4,15.4,72.1,22.9,0,7.2,74.8,19.2,0,0.2,100,80.5,77.4,0.8
77,R_10NJ3BUEcjETUpn,India,5,74.9,73.9,76.8,0,72.3,76.4,32.8,28,28.3,29.3,51.9,80.1,0.8
78,R_10NJ3BUEcjETUpn,India,6,0,26.1,73.6,0.4,1.3,55.1,6.7,0,7.6,72.6,68.2,18.5,0.4
79,R_10NJ3BUEcjETUpn,India,7,14.6,13.9,13.7,0,0.4,73,0,0,0,71.2,19.1,91.2,0.2
80,R_10NJ3BUEcjETUpn,India,8,14,14.8,50.1,0,0,34.3,0,0,1.8,65.6,9.9,58.3,0.4
81,R_10NJ3BUEcjETUpn,India,9,25.8,17.5,72.1,0,0,50,0,25.1,0,79.3,73.2,76.4,0.3
82,R_10NJ3BUEcjETUpn,India,10,17,65.9,0,0,6.1,73.2,0,10.2,0,100,87.2,85.8,0.6
83,R_10NJ3BUEcjETUpn,India,11,60.9,73.7,0,0,18.3,72.3,23.3,14.6,0,100,75.1,72.4,0.7
84,R_10NJ3BUEcjETUpn,India,12,8.7,0,3.6,0,2.8,20.9,0,0,0,100,16.9,65.5,0.2
85,R_10NJ3BUEcjETUpn,India,13,31.8,25.2,29.6,22,89.7,72.6,74.2,24.5,27.7,84.3,70.7,72,0.32
86,R_10NJ3BUEcjETUpn,India,14,47.5,100,0,31.6,21.4,76.4,23.5,18,15.3,100,100,100,0.8
87,R_10NJ3BUEcjETUpn,India,15,66.2,74.5,11.8,0,23.2,74.2,22,27.1,13.1,79,72.3,76.8,0.8
88,R_10NJ3BUEcjETUpn,India,16,50.1,72.6,51.3,0,47.2,24.5,0,18.5,22.3,100,79.6,100,0.6
89,R_10NJ3BUEcjETUpn,India,17,21.7,19.9,0,0,0,72.6,0,0,0,75,74.9,100,0.4
90,R_10NJ3BUEcjETUpn,India,18,84.7,80.6,0,22,24,81.5,90.4,68.5,64.6,77.4,79.3,77,1
91,R_1i27ySMyvuA6hzY,India,1,48.3,73.6,58,0,24,67.3,0.5,26.9,0,59,72.1,35.7,0.32
92,R_1i27ySMyvuA6hzY,India,2,41.8,0.4,23.3,0,19.4,81.8,2.8,24.4,2.4,26.9,21.7,51.2,0.52
93,R_1i27ySMyvuA6hzY,India,3,61.7,54.7,31.4,31.5,72.1,57.8,73.7,32,56.8,38.1,66.6,77.6,0.8
94,R_1i27ySMyvuA6hzY,India,4,69.2,76.4,38.3,0,67.2,63,64.5,67.7,0,33.1,89,75.9,0.8
95,R_1i27ySMyvuA6hzY,India,5,55.6,67.7,24,34.5,32.4,38.5,24.4,27.6,37,9.9,88.2,58.8,0.66
96,R_1i27ySMyvuA6hzY,India,6,60.7,36.9,61.9,35,42,52.7,18.1,34.7,54.4,35.7,31.8,59.1,0.24
97,R_1i27ySMyvuA6hzY,India,7,3.1,22.7,98.8,0,0,9.7,0,3.2,0,15.3,30.6,26.3,0.08
98,R_1i27ySMyvuA6hzY,India,8,58.2,60.5,71,1.2,24.5,57.6,43.6,35.7,0,26.7,78,63.5,0.664
99,R_1i27ySMyvuA6hzY,India,9,16.2,28.7,75.7,0,26.7,42.6,1.3,1.3,0,31.1,81.4,57,0.56
100,R_1i27ySMyvuA6hzY,India,10,51.9,64.9,33,0,10.3,55.9,0.8,26,4.8,33.1,82.6,59.1,0.396
101,R_1i27ySMyvuA6hzY,India,11,46.6,62.7,22.9,0,56.4,35.1,28.7,33.1,0.7,30.6,92.9,65.5,0.6
102,R_1i27ySMyvuA6hzY,India,12,54.7,62.1,22,0,44.1,40.3,5,27.3,0,37.9,71.2,59.7,0.48
103,R_1i27ySMyvuA6hzY,India,13,54.4,63.1,21,0,64.6,61,4.6,3.2,3.2,35.8,76,64.3,0.4
104,R_1i27ySMyvuA6hzY,India,14,86.2,86.4,12.9,0,59.2,78.7,0.9,76.3,0.5,74.9,95.8,34.6,0.88
105,R_1i27ySMyvuA6hzY,India,15,75.1,76.5,23.3,0,75.2,44.2,0,24.7,7.1,49.1,71.2,57.4,0.56
106,R_1i27ySMyvuA6hzY,India,16,23,2,78.4,2,32.5,28.5,23.3,25.6,19.7,58.8,22.6,28.9,0.3
107,R_1i27ySMyvuA6hzY,India,17,51.3,59,70.6,1.6,24.5,40.1,2.5,26.4,4.6,60.2,68.1,44.8,0.2
108,R_1i27ySMyvuA6hzY,India,18,72.1,53.9,2,1.5,75.3,45.6,75.7,74.9,75.5,75.3,77.2,95.7,0.8
109,R_1ifAuutGr9RzzP5,India,1,100,48.9,73.8,0,29.1,100,25.5,23.8,99,100,78.5,100,0
110,R_1ifAuutGr9RzzP5,India,2,100,85.3,100,0.6,25.2,0,0,22,0,26.2,26.4,24.5,0
111,R_1ifAuutGr9RzzP5,India,3,100,100,0,0,43.8,100,77.5,26.4,0.1,100,68.2,100,0
112,R_1ifAuutGr9RzzP5,India,4,100,100,100,0,30.8,100,18.7,14.1,24,100,74.5,21.2,0
113,R_1ifAuutGr9RzzP5,India,5,100,100,0,0,70.8,100,24,32.2,0,100,75.1,76.2,0
114,R_1ifAuutGr9RzzP5,India,6,100,100,100,76,21.3,0,1.4,19.7,0,100,83.7,83.4,0
115,R_1ifAuutGr9RzzP5,India,7,100,73.8,100,0,54.9,4.6,0,19.5,26.4,100,78.2,25.2,0
116,R_1ifAuutGr9RzzP5,India,8,100,99.1,99.8,18.4,22.8,19.7,0,37.7,0,100,79.6,0,0
117,R_1ifAuutGr9RzzP5,India,9,97.4,100,72.1,1.4,25.8,100,45.8,27.1,24.3,100,76.2,45.7,0
118,R_1ifAuutGr9RzzP5,India,10,100,45.4,100,0,0,0,0,23.9,0,100,81.4,100,0
119,R_1ifAuutGr9RzzP5,India,11,100,100,0,0,71.4,100,77.5,21.5,47.8,100,72.9,69.2,0
120,R_1ifAuutGr9RzzP5,India,12,100,100,100,0,50,19,21,0,0,100,71.6,100,0
121,R_1ifAuutGr9RzzP5,India,13,100,76.4,46.3,0,24.5,0,0,0,17.6,100,72.6,100,0
122,R_1ifAuutGr9RzzP5,India,14,100,100,0,0,22.1,100,100,27.7,75,100,72.7,100,0
123,R_1ifAuutGr9RzzP5,India,15,100,100,40.4,0,23.3,76.4,57.1,0.5,19.2,100,77.4,75.8,0
124,R_1ifAuutGr9RzzP5,India,16,100,75.7,34.2,0,48.8,100,24.6,46,16.8,100,72.1,100,0
125,R_1ifAuutGr9RzzP5,India,17,77,100,0,0,17.8,100,0,30.4,23,100,77.6,100,0
126,R_1ifAuutGr9RzzP5,India,18,100,100,0,0,100,100,100,89.5,77.3,100,100,100,0
127,R_1ihdGF6HzzogA5S,India,1,68.9,0,30.3,0.9,54.4,66,0.1,25.5,30.6,100,50.3,77.3,0.2
128,R_1ihdGF6HzzogA5S,India,2,19.3,14.9,53.9,1.7,72.5,75.9,4,31.9,23.3,96.4,20.9,39.7,0.48
129,R_1ihdGF6HzzogA5S,India,3,78.4,76.7,30,1.7,63.9,72.9,84.6,7,28.7,100,73.3,100,0.72
130,R_1ihdGF6HzzogA5S,India,4,55.2,22.4,23.5,0,64.7,45.2,27.2,27.7,15.3,100,25.7,46.2,0.52
131,R_1ihdGF6HzzogA5S,India,5,37.3,24.1,39.8,5.6,53.9,78.4,16.9,13.1,24.3,100,44.4,73.5,0.32
